file_name,harmonic,closeness_centrality,pagerank,degree_centrality,betweenness_centrality,all_subgraphs
es_gsd-ud-train_7825.graphml,0,0,0,0,0,0
es_gsd-ud-train_12948.graphml,3,3,3,3,3,3
es_gsd-ud-train_9745.graphml,2,2,2,2,2,3
es_gsd-ud-train_3290.graphml,0,0,0,0,0,0
es_gsd-ud-train_1588.graphml,2,3,2,2,4,3
es_gsd-ud-train_12830.graphml,0,1,4,0,0,1
es_gsd-ud-train_8337.graphml,0,0,0,0,0,0
es_gsd-ud-train_12958.graphml,0,0,0,0,0,0
es_gsd-ud-train_9755.graphml,0,0,0,0,0,0
es_gsd-ud-train_3280.graphml,1,2,1,1,2,2
es_gsd-ud-train_7835.graphml,1,1,1,1,1,1
es_gsd-ud-train_8327.graphml,1,0,1,1,1,1
es_gsd-ud-train_12820.graphml,1,1,2,1,1,1
es_gsd-ud-train_1598.graphml,0,0,0,0,0,0
es_gsd-ud-train_5189.graphml,1,1,1,1,1,1
es_gsd-ud-train_2856.graphml,1,1,0,0,1,1
es_gsd-ud-train_12684.graphml,2,2,3,1,2,2
es_gsd-ud-train_9889.graphml,0,1,5,5,3,3
es_gsd-ud-train_4483.graphml,0,0,1,0,0,0
es_gsd-ud-train_5810.graphml,1,1,1,1,1,1
es_gsd-ud-train_9110.graphml,0,0,0,0,0,0
es_gsd-ud-train_803.graphml,1,1,2,2,1,1
es_gsd-ud-train_10805.graphml,1,2,3,1,2,2
es_gsd-ud-train_8562.graphml,3,3,3,3,3,3
es_gsd-ud-train_11496.graphml,0,0,0,0,0,0
es_gsd-ud-train_5968.graphml,1,1,1,1,1,1
es_gsd-ud-train_7691.graphml,2,2,2,2,2,2
es_gsd-ud-train_9068.graphml,1,0,2,0,0,0
es_gsd-ud-train_5800.graphml,1,1,5,5,1,1
es_gsd-ud-train_9100.graphml,0,0,0,0,0,0
es_gsd-ud-train_2846.graphml,1,2,1,1,1,2
es_gsd-ud-train_12694.graphml,1,0,1,1,1,1
es_gsd-ud-train_5199.graphml,0,1,0,0,0,1
es_gsd-ud-train_4493.graphml,1,3,1,1,1,3
es_gsd-ud-train_9899.graphml,0,0,1,0,0,0
es_gsd-ud-train_5978.graphml,0,1,0,0,1,1
es_gsd-ud-train_8572.graphml,0,0,0,0,0,0
es_gsd-ud-train_11486.graphml,0,0,0,0,0,0
es_gsd-ud-train_9078.graphml,0,0,0,0,0,0
es_gsd-ud-train_7681.graphml,4,3,5,5,4,4
es_gsd-ud-train_10815.graphml,4,4,10,3,4,4
es_gsd-ud-train_813.graphml,1,0,1,1,1,0
es_gsd-ud-train_10382.graphml,0,2,0,0,0,2
es_gsd-ud-train_9276.graphml,2,1,2,2,2,2
es_gsd-ud-train_13971.graphml,0,0,0,0,0,0
es_gsd-ud-train_384.graphml,1,1,0,0,1,1
es_gsd-ud-train_6185.graphml,0,0,3,0,0,0
es_gsd-ud-train_11688.graphml,0,0,0,0,0,0
es_gsd-ud-train_13809.graphml,1,1,1,1,1,1
es_gsd-ud-train_8604.graphml,0,0,2,2,0,0
es_gsd-ud-train_1922.graphml,1,1,2,0,1,1
es_gsd-ud-train_13190.graphml,1,1,2,0,1,1
es_gsd-ud-train_5397.graphml,3,2,3,3,2,2
es_gsd-ud-train_6964.graphml,0,1,1,1,1,0
es_gsd-ud-train_394.graphml,2,1,0,0,2,2
es_gsd-ud-train_10392.graphml,1,1,0,0,1,1
es_gsd-ud-train_13961.graphml,3,3,3,3,3,3
es_gsd-ud-train_9266.graphml,1,1,1,1,1,1
es_gsd-ud-train_11698.graphml,1,1,1,1,1,1
es_gsd-ud-train_6195.graphml,1,3,1,1,3,3
es_gsd-ud-train_13180.graphml,3,1,3,3,1,1
es_gsd-ud-train_5387.graphml,0,0,0,0,0,0
es_gsd-ud-train_6974.graphml,0,0,1,0,0,0
es_gsd-ud-train_13819.graphml,2,2,1,1,2,2
es_gsd-ud-train_8614.graphml,2,2,1,0,2,2
es_gsd-ud-train_1932.graphml,1,0,1,1,0,0
es_gsd-ud-train_4829.graphml,1,1,1,1,1,1
es_gsd-ud-train_9423.graphml,0,0,1,0,0,0
es_gsd-ud-train_8129.graphml,1,1,0,0,1,1
es_gsd-ud-train_1796.graphml,1,1,1,1,1,1
es_gsd-ud-train_11944.graphml,0,0,1,1,0,0
es_gsd-ud-train_4951.graphml,0,0,0,0,0,0
es_gsd-ud-train_2584.graphml,0,0,1,0,0,0
es_gsd-ud-train_8051.graphml,0,0,0,0,0,0
es_gsd-ud-train_3917.graphml,1,1,0,0,1,1
es_gsd-ud-train_1786.graphml,1,0,1,0,0,0
es_gsd-ud-train_11954.graphml,0,0,0,0,0,0
es_gsd-ud-train_9433.graphml,0,0,0,0,0,0
es_gsd-ud-train_4839.graphml,0,1,4,4,1,1
es_gsd-ud-train_8139.graphml,1,1,1,1,1,1
es_gsd-ud-train_3907.graphml,1,1,2,1,1,1
es_gsd-ud-train_4941.graphml,3,2,3,3,2,2
es_gsd-ud-train_2594.graphml,1,1,1,1,1,1
es_gsd-ud-train_8041.graphml,0,0,0,0,0,0
es_gsd-ud-train_5256.graphml,1,1,1,1,1,1
es_gsd-ud-train_13051.graphml,1,0,1,1,1,1
es_gsd-ud-train_11631.graphml,0,0,3,0,0,0
es_gsd-ud-train_2210.graphml,0,0,0,0,0,0
es_gsd-ud-train_14017.graphml,0,0,1,0,0,0
es_gsd-ud-train_7436.graphml,2,2,2,2,2,2
es_gsd-ud-train_12423.graphml,1,1,2,2,1,1
es_gsd-ud-train_1002.graphml,0,0,0,0,0,0
es_gsd-ud-train_4624.graphml,0,0,0,0,0,0
es_gsd-ud-train_13129.graphml,0,0,0,0,0,0
es_gsd-ud-train_11749.graphml,1,1,3,3,1,1
es_gsd-ud-train_2368.graphml,1,1,1,1,1,1
es_gsd-ud-train_6044.graphml,0,0,0,0,0,0
es_gsd-ud-train_245.graphml,2,2,2,2,2,2
es_gsd-ud-train_10243.graphml,1,1,1,1,1,1
es_gsd-ud-train_3662.graphml,0,0,0,0,1,0
es_gsd-ud-train_11621.graphml,0,0,0,0,0,0
es_gsd-ud-train_2200.graphml,1,0,1,1,1,0
es_gsd-ud-train_14007.graphml,2,2,1,1,2,2
es_gsd-ud-train_16.graphml,0,0,1,1,0,0
es_gsd-ud-train_7426.graphml,1,1,1,1,1,1
es_gsd-ud-train_5246.graphml,0,0,0,0,0,0
es_gsd-ud-train_13041.graphml,0,0,0,0,0,0
es_gsd-ud-train_6054.graphml,1,1,0,0,1,1
es_gsd-ud-train_11759.graphml,0,0,0,0,0,0
es_gsd-ud-train_2378.graphml,0,0,1,0,0,0
es_gsd-ud-train_10253.graphml,2,2,5,1,2,2
es_gsd-ud-train_3672.graphml,2,0,2,2,1,1
es_gsd-ud-train_255.graphml,1,1,0,0,1,1
es_gsd-ud-train_12433.graphml,4,4,1,1,4,4
es_gsd-ud-train_1012.graphml,1,1,1,1,1,1
es_gsd-ud-train_13139.graphml,5,4,5,5,5,4
es_gsd-ud-train_4634.graphml,0,0,0,0,0,0
es_gsd-ud-train_8809.graphml,2,2,0,0,2,2
es_gsd-ud-train_5403.graphml,3,2,3,3,2,2
es_gsd-ud-train_4109.graphml,1,1,1,1,1,1
es_gsd-ud-train_13604.graphml,1,0,2,0,1,1
es_gsd-ud-train_2445.graphml,1,1,1,1,1,1
es_gsd-ud-train_11064.graphml,0,0,0,0,0,0
es_gsd-ud-train_8190.graphml,2,2,2,2,2,2
es_gsd-ud-train_6769.graphml,1,1,0,0,1,1
es_gsd-ud-train_7263.graphml,0,0,0,0,0,0
es_gsd-ud-train_4890.graphml,3,3,4,3,3,3
es_gsd-ud-train_568.graphml,0,0,1,0,0,0
es_gsd-ud-train_1657.graphml,1,0,1,1,1,1
es_gsd-ud-train_12276.graphml,0,0,0,0,0,0
es_gsd-ud-train_8971.graphml,0,0,3,0,0,0
es_gsd-ud-train_11885.graphml,2,2,2,2,2,2
es_gsd-ud-train_4071.graphml,1,1,2,2,1,1
es_gsd-ud-train_6611.graphml,1,1,2,1,1,1
es_gsd-ud-train_3037.graphml,1,1,5,0,1,1
es_gsd-ud-train_10416.graphml,0,2,0,0,2,2
es_gsd-ud-train_410.graphml,2,1,1,1,1,1
es_gsd-ud-train_6779.graphml,6,4,0,0,6,4
es_gsd-ud-train_2455.graphml,0,0,1,0,0,0
es_gsd-ud-train_11074.graphml,1,1,2,0,1,1
